Corp Id,CORPORATION NAME,Cohort N,Grad N,2019 State Grad Rate,Non-Waiver Grad N,2019 State Non-Waiver Grad Rate
0015,Adams Central Community Schools,99,98,98.99%,95,95.96%
0025,North Adams Community Schools,173,160,92.49%,146,84.39%
0035,South Adams Schools,73,63,86.30%,56,76.71%
0125,M S D Southwest Allen County Schls,578,547,94.64%,528,91.35%
0225,Northwest Allen County Schools,583,560,96.05%,547,93.83%
0235,Fort Wayne Community Schools,2054,1762,85.78%,1556,75.75%
0255,East Allen County Schools,818,739,90.34%,679,83.01%
0365,Bartholomew Con School Corp,934,807,86.40%,669,71.63%
0370,Flat Rock-Hawcreek School Corp,73,63,86.30%,52,71.23%
0395,Benton Community School Corp,117,111,94.87%,107,91.45%
0515,Blackford County Schools,129,121,93.80%,120,93.02%
0615,Western Boone Co Com Sch Dist,127,125,98.43%,119,93.70%
0630,Zionsville Community Schools,499,483,96.79%,466,93.39%
0665,Lebanon Community School Corp,266,220,82.71%,210,78.95%
0670,Brown County School Corporation,144,139,96.53%,122,84.72%
0750,Carroll Consolidated School Corp,84,78,92.86%,74,88.10%
0755,Delphi Community School Corp,92,84,91.30%,79,85.87%
0775,Pioneer Regional School Corp,83,75,90.36%,75,90.36%
0815,Lewis Cass Schools,107,104,97.20%,92,85.98%
0875,Logansport Community Sch Corp,265,240,90.57%,217,81.89%
0940,West Clark Community Schools,340,316,92.94%,287,84.41%
1000,Clarksville Community School Corp,92,89,96.74%,72,78.26%
1010,Greater Clark County Schools,750,704,93.87%,668,89.07%
1125,Clay Community Schools,271,245,90.41%,220,81.18%
1150,Clinton Central School Corporation,67,59,88.06%,59,88.06%
1160,Clinton Prairie School Corporation,87,80,91.95%,76,87.36%
1170,Community Schools of Frankfort,261,237,90.80%,220,84.29%
1180,Rossville Con School District,73,67,91.78%,50,68.49%
1300,Crawford County Community Sch Corp,103,80,77.67%,72,69.90%
1315,Barr-Reeve Community Schools Inc,44,44,100.00%,43,97.73%
