Corp ID,Corp name,Sch ID,School Name,County,Model,Sub_EMS_Model,Sub_HS_Model,Commission Category,Choice,Sch Grade 2015,Sch Grade 2014,Sch Grade 2013,Sch Grade 2012,Sch Grade 2011,Sch Grade 2010,Sch Grade 2008,Sch Grade 2007,Sch Grade 2006,Sch Grade 2005
0015,Adams Central Community Schools,0013,Adams Central Middle School,Adams,EMS,,,State Accredited,0,B,B,A,B,B,A,B,A,B,A
0015,Adams Central Community Schools,0020,Adams Central Elementary School,Adams,EMS,,,State Accredited,0,A,A,A,A,A,A,B,A,A,A
0015,Adams Central Community Schools,0021,Adams Central High School,Adams,HS,,,State Accredited,0,A,A,A,A,A,B,A,A,D,C
0025,North Adams Community Schools,0029,Bellmont Senior High School,Adams,HS,,,State Accredited,0,B,B,A,A,C,C,B,D,D,D
0025,North Adams Community Schools,0033,Bellmont Middle School,Adams,EMS,,,State Accredited,0,A,A,B,B,C,C,D,D,D,C
0025,North Adams Community Schools,0037,Northwest Elementary,Adams,EMS,,,State Accredited,0,B,B,A,C,A,A,C,D,C,D
0025,North Adams Community Schools,0041,Southeast Elementary School,Adams,EMSF,,,State Accredited,0,B,B,A,C,A,A,A,D,A,A
0035,South Adams Schools,0017,South Adams Middle School,Adams,EMS,,,State Accredited,0,A,A,A,A,A,A,A,A,C,C
0035,South Adams Schools,0023,South Adams High School,Adams,HS,,,State Accredited,0,A,A,C,A,A,D,D,B,D,D
0035,South Adams Schools,0025,South Adams Elem School,Adams,EMS,,,State Accredited,0,A,A,A,B,A,A,D,D,D,D
0125,M S D Southwest Allen County Schls,0045,Aboite Elementary School,Allen,EMS,,,State Accredited,0,A,A,B,A,A,A,A,A,A,A
0125,M S D Southwest Allen County Schls,0046,Whispering Meadow Elem Sch,Allen,EMS,,,State Accredited,0,A,A,A,A,A,A,B,A,A,A
0125,M S D Southwest Allen County Schls,0047,Homestead Senior High School,Allen,HS,,,State Accredited,0,A,A,A,A,C,B,B,B,B,A
0125,M S D Southwest Allen County Schls,0063,Summit Middle School,Allen,EMS,,,State Accredited,0,A,C,C,B,A,A,B,C,C,A
0125,M S D Southwest Allen County Schls,0064,Lafayette Meadow School,Allen,EMS,,,State Accredited,0,C,C,C,B,A,A,B,A,A,A
0125,M S D Southwest Allen County Schls,0067,Woodside Middle School,Allen,EMS,,,State Accredited,0,A,A,B,B,A,A,B,B,A,A
0125,M S D Southwest Allen County Schls,0068,Haverhill Elementary School,Allen,EMS,,,State Accredited,0,A,A,A,B,A,A,D,A,A,A
0125,M S D Southwest Allen County Schls,0071,Deer Ridge Elementary,Allen,EMS,,,State Accredited,0,A,B,A,B,B,B,A,A,A,A
0125,M S D Southwest Allen County Schls,0072,Covington Elementary School,Allen,EMS,,,State Accredited,0,A,A,A,A,A,A,B,A,B,A
0225,Northwest Allen County Schools,0069,Arcola School,Allen,EMS,,,State Accredited,0,C,C,B,D,A,B,A,D,D,C
0225,Northwest Allen County Schools,0079,Maple Creek Middle School,Allen,EMS,,,State Accredited,0,A,A,A,A,B,A,A,A,B,B
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,Allen,EMS,,,State Accredited,0,B,B,A,A,B,A,B,A,A,A
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,Allen,EMS,,,State Accredited,0,A,A,B,A,A,A,A,A,B,A
0225,Northwest Allen County Schools,0090,Carroll Middle School,Allen,EMS,,,State Accredited,0,A,A,B,B,A,A,A,A,A,A
