IDOE_CORPORATION_ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,2016 Grade
0015,Adams Central Community Schools,0013,Adams Central Middle School,B
0015,Adams Central Community Schools,0020,Adams Central Elementary School,B
0015,Adams Central Community Schools,0021,Adams Central High School,B
0025,North Adams Community Schools,0029,Bellmont Senior High School,A
0025,North Adams Community Schools,0033,Bellmont Middle School,C
0025,North Adams Community Schools,0037,Northwest Elementary,C
0025,North Adams Community Schools,0041,Southeast Elementary School,C
0035,South Adams Schools,0017,South Adams Middle School,C
0035,South Adams Schools,0023,South Adams High School,B
0035,South Adams Schools,0025,South Adams Elementary School,A
0125,M S D Southwest Allen County Schls,0045,Aboite Elementary School,B
0125,M S D Southwest Allen County Schls,0046,Whispering Meadow Elem Sch,B
0125,M S D Southwest Allen County Schls,0047,Homestead Senior High School,A
0125,M S D Southwest Allen County Schls,0063,Summit Middle School,A
0125,M S D Southwest Allen County Schls,0064,Lafayette Meadow School,C
0125,M S D Southwest Allen County Schls,0067,Woodside Middle School,B
0125,M S D Southwest Allen County Schls,0068,Haverhill Elementary School,B
0125,M S D Southwest Allen County Schls,0071,Deer Ridge Elementary,B
0125,M S D Southwest Allen County Schls,0072,Covington Elementary School,C
0225,Northwest Allen County Schools,0069,Arcola School,B
0225,Northwest Allen County Schools,0079,Maple Creek Middle School,A
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,C
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,B
0225,Northwest Allen County Schools,0090,Carroll Middle School,B
0225,Northwest Allen County Schools,0091,Carroll High School,A
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,C
0225,Northwest Allen County Schools,0094,Oak View Elementary School,B
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,B
0225,Northwest Allen County Schools,0096,Eel River Elementary School,B
0235,Fort Wayne Community Schools,0101,North Side High School,C
0235,Fort Wayne Community Schools,0102,R Nelson Snider High School,B
0235,Fort Wayne Community Schools,0105,South Side High School,C
0235,Fort Wayne Community Schools,0107,Blackhawk Middle School,B
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,D
0235,Fort Wayne Community Schools,0119,Jefferson Middle School,C
0235,Fort Wayne Community Schools,0121,Kekionga Middle School,F
0235,Fort Wayne Community Schools,0125,Lakeside Middle School,C
0235,Fort Wayne Community Schools,0126,Lane Middle School,C
0235,Fort Wayne Community Schools,0127,Memorial Park Middle School,C
0235,Fort Wayne Community Schools,0128,Miami Middle School,D
0235,Fort Wayne Community Schools,0129,Northwood Middle School,C
0235,Fort Wayne Community Schools,0133,Portage Middle School,D
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,B
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,B
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,F
0235,Fort Wayne Community Schools,0141,Adams Elementary School,B
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,F
0235,Fort Wayne Community Schools,0151,Bunche Elementary School,D
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,C
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,A
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,D
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,C
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,B
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,D
0235,Fort Wayne Community Schools,0177,Wayne High School,B
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,C
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,A
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,C
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,B
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,B
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,D
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,C
0235,Fort Wayne Community Schools,0213,Nebraska Elementary School,D
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,D
0235,Fort Wayne Community Schools,0219,Northrop High School,B
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,B
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,B
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,B
0235,Fort Wayne Community Schools,0240,Shawnee Middle School,D
0235,Fort Wayne Community Schools,0241,Whitney M Young Early Childhood,B
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,D
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,C
0235,Fort Wayne Community Schools,0257,Study Elementary School,D
0235,Fort Wayne Community Schools,0265,Washington Elementary School,D
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,B
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,B
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,B
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,B
0255,East Allen County Schools,0043,Prince Chapman Academy,C
0255,East Allen County Schools,0049,Leo Junior/Senior High School,B
0255,East Allen County Schools,0053,Leo Elementary School,A
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,B
0255,East Allen County Schools,0083,New Haven Primary School,B
0255,East Allen County Schools,0281,Heritage Elementary School,B
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,B
0255,East Allen County Schools,0291,Cedarville Elementary School,A
0255,East Allen County Schools,0294,Paul Harding Jr High School,D
0255,East Allen County Schools,0297,New Haven High School,C
0255,East Allen County Schools,0301,New Haven Middle School,C
0255,East Allen County Schools,0305,New Haven Intermediate School,B
0255,East Allen County Schools,0310,Southwick Elementary School,C
0255,East Allen County Schools,0323,Woodlan Elementary School,B
0255,East Allen County Schools,0394,East Allen University,No Grade
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,B
0365,Bartholomew Con School Corp,0346,CSA Lincoln Campus,A
0365,Bartholomew Con School Corp,0353,Mount Healthy Elementary School,A
0365,Bartholomew Con School Corp,0357,Parkside Elementary School,B
0365,Bartholomew Con School Corp,0363,W D Richards Elementary School,A
0365,Bartholomew Con School Corp,0366,Rockcreek Elementary School,A
0365,Bartholomew Con School Corp,0369,Lillian Schmitt Elementary School,B
0365,Bartholomew Con School Corp,0371,L F Smith Elementary,B
0365,Bartholomew Con School Corp,0375,CSA Fodrea Campus,A
0365,Bartholomew Con School Corp,0377,Taylorsville Elementary School,B
0365,Bartholomew Con School Corp,0390,Central Middle School,B
0365,Bartholomew Con School Corp,0392,Southside Elementary School,A
0365,Bartholomew Con School Corp,0395,Northside Middle School,B
0365,Bartholomew Con School Corp,0397,Columbus North High School,A
0365,Bartholomew Con School Corp,0399,Columbus East High School,B
0370,Flat Rock-Hawcreek School Corp,0409,Hope Elementary School,B
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,B
0395,Benton Community School Corp,0421,Otterbein Elementary School,B
0395,Benton Community School Corp,0433,Boswell Elementary School,C
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,B
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,B
0515,Blackford County Schools,0485,Montpelier School,A
0515,Blackford County Schools,0489,Blackford High School,B
0515,Blackford County Schools,0491,Blackford Junior High School,D
0515,Blackford County Schools,0494,North Side Elementary School,A
0515,Blackford County Schools,0501,Southside Elementary School,B
0615,Western Boone Co Com Sch Dist,0521,Granville Wells Elementary School,C
0615,Western Boone Co Com Sch Dist,0537,Thorntown Elementary School,B
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,B
0630,Zionsville Community Schools,0510,Zionsville West Middle School,B
0630,Zionsville Community Schools,0511,Zionsville Middle School,B
0630,Zionsville Community Schools,0512,Zionsville Community High School,A
0630,Zionsville Community Schools,0514,Eagle Elementary School,A
0630,Zionsville Community Schools,0517,Zionsville Pleasant View Elem Sch,A
0630,Zionsville Community Schools,0541,Union Elementary School,A
0630,Zionsville Community Schools,0542,Stonegate Elementary,A
0630,Zionsville Community Schools,0544,Boone Meadow,A
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,B
0665,Lebanon Community School Corp,0553,Lebanon Senior High School,B
0665,Lebanon Community School Corp,0557,Lebanon Middle School,C
0665,Lebanon Community School Corp,0561,Central Elementary School,B
0665,Lebanon Community School Corp,0565,Harney Elementary School,A
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,B
0670,Brown County School Corporation,0571,Brown County Intermediate School,B
0670,Brown County School Corporation,0573,Brown County High School,B
0670,Brown County School Corporation,0577,Van Buren Elementary School,A
0670,Brown County School Corporation,0581,Helmsburg Elementary School,B
0670,Brown County School Corporation,0585,Sprunica Elementary School,A
0670,Brown County School Corporation,0587,Brown County Junior High,C
0750,Carroll Consolidated School Corp,0621,Carroll Senior High School,B
0750,Carroll Consolidated School Corp,0623,Carroll Junior High School,B
0750,Carroll Consolidated School Corp,0629,Carroll Elementary,C
0755,Delphi Community School Corp,0609,Delphi Community Middle School,C
0755,Delphi Community School Corp,0637,Delphi Community High School,B
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,B
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,C
0775,Pioneer Regional School Corp,0649,Pioneer Elementary School,C
0815,Southeastern School Corp,0673,Galveston Elementary School,C
0815,Southeastern School Corp,0689,Lewis Cass Jr-Sr High School,C
0815,Southeastern School Corp,0695,Thompson Elementary School,C
0875,Logansport Community Sch Corp,0701,Logansport Community High School,B
0875,Logansport Community Sch Corp,0702,Lincoln Middle School,D
0875,Logansport Community Sch Corp,0705,Franklin Elementary School,D
0875,Logansport Community Sch Corp,0709,Fairview Elementary School,B
0875,Logansport Community Sch Corp,0711,Landis Elementary School,C
0875,Logansport Community Sch Corp,0713,Columbia Elementary School,C
0875,Logansport Community Sch Corp,0715,Columbia Middle School,C
0940,West Clark Community Schools,0765,Henryville Jr & Sr High School,B
0940,West Clark Community Schools,0767,Henryville Elementary School,C
0940,West Clark Community Schools,0777,Silver Creek High School,B
0940,West Clark Community Schools,0781,Silver Creek Middle School,C
0940,West Clark Community Schools,0789,Silver Creek Elementary School,D
0940,West Clark Community Schools,0813,William W Borden High School,B
0940,West Clark Community Schools,0815,William W Borden Elementary School,C
0940,West Clark Community Schools,0818,Silver Creek Primary School,D
1000,Clarksville Community School Corp,0833,Clarksville Senior High School,B
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,C
1000,Clarksville Community School Corp,0851,Clarksville Middle School,B
1010,Greater Clark County Schools,0755,W E Wilson Elementary,B
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,B
1010,Greater Clark County Schools,0801,Northaven Elementary School,B
1010,Greater Clark County Schools,0805,Utica Elementary School,A
1010,Greater Clark County Schools,0807,New Washington Elementary School,B
1010,Greater Clark County Schools,0809,New Washington Middle/High School,B
1010,Greater Clark County Schools,0821,Charlestown Senior High School,B
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,A
