Label,            Under 5 years,            5 to 17 years,            Related children of householder under 18 years
"New Albany-Floyd County Consolidated Schools, Indiana!!Percent below poverty level!!Estimate",5.30%,18.00%,13.70%
"Penn-Harris-Madison School Corporation, Indiana!!Percent below poverty level!!Estimate",3.80%,4.10%,4.00%
"Hammond School City, Indiana!!Percent below poverty level!!Estimate",45.20%,46.10%,45.80%
"South Bend Community School Corporation, Indiana!!Percent below poverty level!!Estimate",27.00%,21.70%,23.00%
"Hamilton Southeastern Schools, Indiana!!Percent below poverty level!!Estimate",6.80%,7.80%,7.00%
"Evansville-Vanderburgh School Corporation, Indiana!!Percent below poverty level!!Estimate",16.40%,21.50%,19.30%
"Muncie Community Schools, Indiana!!Percent below poverty level!!Estimate",35.70%,33.20%,33.00%
"Vigo County School Corporation, Indiana!!Percent below poverty level!!Estimate",31.80%,16.30%,20.20%
"Lawrence Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",34.60%,22.70%,26.50%
"Indianapolis Public Schools, Indiana!!Percent below poverty level!!Estimate",34.30%,32.90%,33.30%
"Wayne Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",14.00%,11.80%,12.40%
"Carmel Clay Schools, Indiana!!Percent below poverty level!!Estimate",2.50%,2.50%,2.50%
"Pike Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",21.50%,21.00%,20.70%
"Bartholomew County School Corporation, Indiana!!Percent below poverty level!!Estimate",15.60%,11.20%,11.60%
"Gary Community School Corporation, Indiana!!Percent below poverty level!!Estimate",42.00%,54.20%,50.30%
"Greater Clark County Schools, Indiana!!Percent below poverty level!!Estimate",42.40%,21.10%,26.70%
"Anderson Community School Corporation, Indiana!!Percent below poverty level!!Estimate",51.40%,32.10%,38.70%
"Elkhart Community Schools, Indiana!!Percent below poverty level!!Estimate",50.70%,18.60%,25.80%
"Washington Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",16.00%,29.10%,25.50%
"Monroe County Community School Corporation, Indiana!!Percent below poverty level!!Estimate",19.70%,10.30%,12.30%
"Perry Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",29.80%,18.50%,21.30%
"East Allen County Schools, Indiana!!Percent below poverty level!!Estimate",25.10%,22.20%,22.60%
"Lake Central School Corporation, Indiana!!Percent below poverty level!!Estimate",0.90%,2.70%,1.70%
"Fort Wayne Community Schools, Indiana!!Percent below poverty level!!Estimate",31.90%,26.50%,27.50%
"Warren Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",34.40%,23.40%,24.20%
"Tippecanoe School Corporation, Indiana!!Percent below poverty level!!Estimate",11.00%,13.20%,12.50%
United States!!Percent below poverty level!!Estimate,19.50%,17.50%,17.70%
