State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,00060,Adams Central Community Schools,"9,076","2,521",625
IN,18,00120,Alexandria Community School Corporation,"8,648","1,465",318
IN,18,00150,Anderson Community School Corporation,"70,432","10,424","2,854"
IN,18,00180,Argos Community Schools,"3,784",711,135
IN,18,00210,Attica Consolidated School Corporation,"4,760",801,143
IN,18,00270,Avon Community School Corporation,"51,391","10,303",599
IN,18,00330,Barr-Reeve Community School Corporation,"5,707","1,461",207
IN,18,00360,Bartholomew County School Corporation,"76,607","13,162","1,475"
IN,18,00390,Batesville Community School Corporation,"11,972","2,243",216
IN,18,00420,Baugo Community Schools,"9,812","2,020",180
IN,18,00450,Beech Grove City Schools,"14,647","2,675",636
IN,18,00480,Benton Community School Corporation,"11,066","2,086",295
IN,18,00570,Blackford County Schools,"11,930","1,938",394
IN,18,00600,Bloomfield School District,"6,689","1,069",183
IN,18,00660,Blue River Valley Schools,"6,577",712,98
IN,18,00720,Bluffton-Harrison Metropolitan School District,"8,698","1,539",214
IN,18,00750,Boone Township Metropolitan School District,"6,358","1,065",113
IN,18,00900,Bremen Public Schools,"8,750","1,812",140
IN,18,00960,Brown County County School Corporation,"15,234","2,153",304
IN,18,01020,Brownsburg Community School Corporation,"46,284","9,304",461
IN,18,01050,Brownstown Central Community School Corporation,"10,790","1,930",231
IN,18,01060,C. A. Beard Memorial School Corporation,"7,877","1,318",173
IN,18,01170,Cannelton City Schools,"1,544",270,89
IN,18,01200,Carmel Clay Schools,"100,132","20,756",598
IN,18,01290,Carroll Consolidated School Corporation,"6,558","1,097",90
IN,18,01410,Caston School Corporation,"4,476",765,89
IN,18,01440,Center Grove Community School Corporation,"45,443","8,935",441
IN,18,01560,Centerville-Abington Community Schools,"8,156","1,583",266
IN,18,01710,Central Noble Community School Corporation,"8,750","1,432",138
IN,18,02880,City of East Chicago School District,"28,998","5,812","2,725"
IN,18,01890,Clark-Pleasant Community School Corporation,"36,078","6,861",690
IN,18,01920,Clarksville Community School Corporation,"9,701","1,451",280
IN,18,00840,Clay Community Schools,"25,467","4,287",889
IN,18,02130,Clinton Central School Corporation,"5,205","1,040",118
IN,18,02160,Clinton Prairie School Corporation,"5,641",962,97
IN,18,02220,Cloverdale Community Schools,"7,388","1,152",202
IN,18,02400,Concord Community Schools,"26,707","5,101",676
IN,18,02430,Covington Community School Corporation,"5,255",839,92
IN,18,07020,Cowan Community School Corporation,"3,637",616,64
IN,18,02440,Crawford County Community School Corporation,"10,940","1,774",393
IN,18,02460,Crawfordsville Community Schools,"15,657","2,399",459
IN,18,12060,Crothersville Community Schools,"3,555",578,81
IN,18,02490,Crown Point Community School Corporation,"40,900","7,182",573
IN,18,02520,Culver Community Schools Corporation,"6,848","1,121",186
IN,18,09840,Daleville Community Schools,"3,932",628,88
IN,18,02550,Danville Community School Corporation,"15,576","2,989",165
IN,18,01590,DeKalb County Central United School District,"24,698","4,238",393
IN,18,03060,DeKalb County Eastern Community School District,"8,020","1,535",191
IN,18,02610,Decatur County Community Schools,"12,477","2,326",257
IN,18,02640,Decatur Township Metropolitan School District,"34,211","7,260","1,293"
IN,18,02660,Delaware Community School Corporation,"14,637","2,460",367
IN,18,02700,Delphi Community School Corporation,"9,631","1,622",182
IN,18,02800,Duneland School Corporation,"35,733","6,284",577
IN,18,02850,East Allen County Schools,"70,150","14,464","2,548"
IN,18,02940,East Gibson School Corporation,"6,823","1,066",123
IN,18,02970,East Noble School Corporation,"23,160","3,928",452
IN,18,09000,East Porter County School Corporation,"13,325","2,289",147
IN,18,03000,East Washington School Corporation,"9,606","1,727",320
IN,18,03030,Eastbrook Community School Corporation,"10,094","1,559",267
IN,18,03090,Eastern Greene County School District,"7,796","1,436",200
IN,18,03120,Eastern Hancock County Community School Corporation,"6,292","1,132",78
IN,18,03150,Eastern Howard School Corporation,"6,453","1,208",87
IN,18,07110,Eastern Pulaski Community School Corporation,"6,976","1,135",176
IN,18,03240,Edinburgh Community School Corporation,"5,510",897,178
IN,18,03270,Elkhart Community Schools,"78,705","14,802","2,880"
IN,18,03300,Elwood Community School Corporation,"9,929","1,631",380
IN,18,03330,Eminence Community School Corporation,"2,981",505,44
IN,18,03450,Evansville-Vanderburgh School Corporation,"180,974","28,126","5,309"
IN,18,03480,Fairfield Community Schools,"12,353","3,021",215
IN,18,03510,Fayette County School Corporation,"23,047","3,794",695
IN,18,03570,Flat Rock-Hawcreek School Corporation,"5,897","1,066",93
IN,18,03630,Fort Wayne Community Schools,"226,858","39,304","9,156"
IN,18,03660,Frankfort Community Schools,"17,688","3,381",580
IN,18,03690,Franklin Community School Corporation,"33,395","5,815",716
IN,18,03700,Franklin County Community School Corporation,"17,144","2,860",322
IN,18,03750,Franklin Township Community School Corporation,"55,952","11,540",933
IN,18,12880,Frankton-Lapel Community Schools,"12,068","2,175",228
IN,18,03780,Fremont Community Schools,"7,134","1,009",117
IN,18,03810,Frontier School Corporation,"4,013",747,60
IN,18,03840,Garrett-Keyser-Butler Community Schools,"9,596","1,784",242
IN,18,03870,Gary Community School Corporation,"73,469","13,781","6,758"
IN,18,03930,Goshen Community Schools,"37,971","7,033",978
IN,18,03940,Greater Clark County Schools,"78,951","12,648","1,803"
IN,18,03960,Greater Jasper Consolidated Schools,"19,853","3,443",311
IN,18,03990,Greencastle Community School Corporation,"14,094","1,937",277
IN,18,04050,Greenfield-Central Community Schools,"29,944","4,930",350
IN,18,04080,Greensburg Community Schools,"14,652","2,501",411
IN,18,04110,Greenwood Community School Corporation,"27,384","4,516",516
IN,18,04170,Griffith Public Schools,"16,424","2,704",452
IN,18,04230,Hamilton Community Schools,"4,399",658,104
IN,18,04260,Hamilton Heights School Corporation,"15,461","2,742",175
IN,18,10650,Hamilton Southeastern Schools,"108,325","23,167",789
IN,18,04320,Hammond School City,"79,276","14,501","4,390"
IN,18,04350,Hanover Community School Corporation,"12,140","2,117",140
IN,18,04560,Highland School Town,"23,181","3,375",373
IN,18,04590,Hobart School City,"23,426","3,739",692
IN,18,04710,Huntington County Community School Corporation,"36,240","5,746",712
IN,18,04770,Indianapolis Public Schools,"313,024","50,828","16,724"
IN,18,04800,Jac-Cen-Del Community School Corporation,"5,040",849,170
IN,18,04980,Jay School Corporation,"20,764","3,807",692
IN,18,05190,Jennings County Schools,"27,611","4,717",860
IN,18,09120,John Glenn School Corporation,"9,964","1,874",157
IN,18,05280,Kankakee Valley School Corporation,"20,096","3,647",355
IN,18,05340,Knox Community School Corporation,"10,872","1,884",401
IN,18,05370,Kokomo-Center Township Consolidated School Corporation,"45,017","6,958","1,623"
IN,18,05580,La Porte Community School Corporation,"38,146","6,301","1,084"
IN,18,05400,Lafayette School Corporation,"62,939","9,900","2,039"
IN,18,05450,Lake Central School Corporation,"65,146","10,731",724
IN,18,05460,Lake Ridge Schools,"11,901","1,998",785
IN,18,02910,Lake Station Community Schools,"8,381","1,410",382
IN,18,05520,Lakeland School Corporation,"15,529","3,094",390
IN,18,03720,Lanesville Community School Corporation,"4,207",726,41
IN,18,05670,Lawrence Township Metropolitan School District,"101,158","19,184","2,911"
IN,18,05700,Lawrenceburg Community School Corporation,"10,944","1,724",269
IN,18,05790,Lebanon Community School Corporation,"25,549","4,167",334
IN,18,05880,Liberty-Perry Community School Corporation,"6,039",997,124
IN,18,05910,Linton-Stockton School Corporation,"8,151","1,306",233
IN,18,06030,Logansport Community School Corporation,"23,365","3,919",686
IN,18,06060,Loogootee Community School Corporation,"5,748",974,126
IN,18,06090,Maconaquah School Corporation,"14,798","2,135",384
IN,18,06120,Madison Consolidated Schools,"22,847","3,400",697
IN,18,06240,Madison-Grant United School Corporation,"8,265","1,411",228
IN,18,06270,Manchester Community Schools,"9,911","1,362",216
IN,18,06390,Marion Community Schools,"34,677","4,839","1,568"
IN,18,06510,Martinsville Schools Metropolitan School District,"31,074","5,103",832
IN,18,01230,Medora Community School Corporation,"1,572",299,78
IN,18,09690,Merrillville Community School,"46,260","7,385","1,568"
IN,18,06570,Michigan City Area Schools,"47,839","7,022","2,199"
IN,18,06600,Middlebury Community Schools,"22,794","5,359",434
IN,18,06630,Milan Community Schools,"6,155","1,141",133
IN,18,06660,Mill Creek Community School Corporation,"10,710","1,960",219
IN,18,06840,Mishawaka School City,"30,848","5,347",878
IN,18,06870,Mississinewa Community School Corporation,"10,238","1,805",380
IN,18,06900,Mitchell Community Schools,"11,899","1,952",260
IN,18,07080,Monroe Central School Corporation,"5,374",899,116
IN,18,00630,Monroe County Community School Corporation,"128,542","13,284","1,688"
IN,18,04140,Monroe-Gregg School District,"8,032","1,379",129
IN,18,07140,Mooresville Consolidated School Corporation,"24,531","4,291",599
IN,18,07230,Mount Pleasant Township Community School Corporation,"13,755","2,297",279
IN,18,07260,Mount Vernon Community School Corporation,"21,169","3,879",192
IN,18,07290,Mount Vernon Metropolitan School District,"15,675","2,636",322
IN,18,07320,Muncie Community Schools,"67,499","7,612","2,469"
IN,18,07350,Munster School Town,"23,022","4,051",260
IN,18,07380,Nettle Creek School Corporation,"6,807","1,292",205
IN,18,07410,New Albany-Floyd County Consolidated Schools,"77,781","12,963","1,801"
IN,18,07440,New Castle Community School Corporation,"22,773","3,546",619
IN,18,07470,New Durham Township Metropolitan School District,"8,550",886,117
IN,18,07560,New Prairie United School Corporation,"15,258","2,729",406
IN,18,07620,Nineveh-Hensley-Jackson United School Corporation,"11,310","1,993",215
IN,18,07650,Noblesville Schools,"60,792","11,457",586
IN,18,07680,North Adams Community Schools,"15,643","2,722",308
IN,18,00118,North Central Parke Community School Corporation,"11,059","1,613",368
IN,18,07710,North Daviess Community Schools,"9,303","2,254",253
IN,18,07770,North Gibson School Corporation,"14,331","2,411",309
IN,18,00690,North Harrison Community School Corporation,"14,094","2,451",286
IN,18,07800,North Judson-San Pierre School Corporation,"7,322","1,275",228
IN,18,07830,North Knox School Corporation,"8,488","1,389",248
IN,18,07860,North Lawrence Community Schools,"33,769","5,450",895
IN,18,07890,North Miami Community Schools,"5,874","1,040",114
IN,18,07900,North Montgomery Community School Corporation,"12,090","2,188",211
IN,18,07920,North Newton School Corporation,"9,081","1,429",158
IN,18,07950,North Posey County Schools Metropolitan School District,"9,865","1,600",106
