State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,
IN,18,00060,Adams Central Community Schools,"9,112","2,547",587,
IN,18,00120,Alexandria Community School Corporation,"8,643","1,455",242,
IN,18,00150,Anderson Community School Corporation,"70,391","10,351","2,101",
IN,18,00180,Argos Community Schools,"3,785",700,107,
IN,18,00210,Attica Consolidated School Corporation,"4,760",786,128,
IN,18,00270,Avon Community School Corporation,"52,403","10,397",470,
IN,18,00330,Barr-Reeve Community School Corporation,"5,757","1,482",185,
IN,18,00360,Bartholomew County School Corporation,"77,556","13,342","2,163",
IN,18,00390,Batesville Community School Corporation,"11,931","2,194",186,
IN,18,00420,Baugo Community Schools,"9,850","2,016",160,
IN,18,00450,Beech Grove City Schools,"14,796","2,691",526,
IN,18,00480,Benton Community School Corporation,"11,187","2,146",221,
IN,18,00570,Blackford County Schools,"11,758","1,887",309,
IN,18,00600,Bloomfield School District,"6,672","1,030",164,
IN,18,00660,Blue River Valley Schools,"6,535",708,109,
IN,18,00720,Bluffton-Harrison Metropolitan School District,"8,726","1,557",179,
IN,18,00750,Boone Township Metropolitan School District,"6,388","1,060",69,
IN,18,00900,Bremen Public Schools,"8,752","1,784",122,
IN,18,00960,Brown County County School Corporation,"15,092","2,001",256,
IN,18,01020,Brownsburg Community School Corporation,"47,201","9,387",345,
IN,18,01050,Brownstown Central Community School Corporation,"10,820","1,932",182,
IN,18,01060,C. A. Beard Memorial School Corporation,"7,831","1,310",163,
IN,18,01170,Cannelton City Schools,"1,549",266,74,
IN,18,01200,Carmel Clay Schools,"102,534","21,044",593,
IN,18,01290,Carroll Consolidated School Corporation,"6,601","1,080",93,
IN,18,01410,Caston School Corporation,"4,448",763,77,
IN,18,01440,Center Grove Community School Corporation,"46,018","9,090",309,
IN,18,01560,Centerville-Abington Community Schools,"8,150","1,565",219,
IN,18,01710,Central Noble Community School Corporation,"8,781","1,415",121,
IN,18,02880,City of East Chicago School District,"29,062","5,789","1,995",
IN,18,01890,Clark-Pleasant Community School Corporation,"36,546","6,979",506,
IN,18,01920,Clarksville Community School Corporation,"9,779","1,442",201,
IN,18,00840,Clay Community Schools,"25,520","4,260",600,
IN,18,02130,Clinton Central School Corporation,"5,229","1,043",131,
IN,18,02160,Clinton Prairie School Corporation,"5,670",965,94,
IN,18,02220,Cloverdale Community Schools,"7,362","1,142",185,
IN,18,02400,Concord Community Schools,"26,809","5,089",549,
IN,18,02430,Covington Community School Corporation,"5,251",822,75,
IN,18,07020,Cowan Community School Corporation,"3,617",610,53,
IN,18,02440,Crawford County Community School Corporation,"10,961","1,765",386,
IN,18,02460,Crawfordsville Community Schools,"15,659","2,371",491,
IN,18,12060,Crothersville Community Schools,"3,564",579,80,
IN,18,02490,Crown Point Community School Corporation,"41,002","7,154",410,
IN,18,02520,Culver Community Schools Corporation,"6,842","1,110",161,
IN,18,09840,Daleville Community Schools,"3,908",621,90,
IN,18,02550,Danville Community School Corporation,"15,884","3,016",147,
IN,18,01590,DeKalb County Central United School District,"24,839","4,239",570,
IN,18,03060,DeKalb County Eastern Community School District,"8,066","1,535",224,
IN,18,02610,Decatur County Community Schools,"12,370","2,261",269,
IN,18,02640,Decatur Township Metropolitan School District,"34,566","7,302","1,110",
IN,18,02660,Delaware Community School Corporation,"14,556","2,433",309,
IN,18,02700,Delphi Community School Corporation,"9,689","1,596",179,
IN,18,02800,Duneland School Corporation,"35,898","6,253",357,
