Corp,Corp Name,"Performance Points
 (3-8)","Performance Weight
 (3-8)","Growth Points
 (4-8)","Growth Weight
 (4-8)","Performance Points
 (10)","Performance Weight
 (10)","Growth Points
 (10-12)","Growth Weight
 (10-12)","Mult. Measures Points
 (12)","Mult. Measures Weight
 (12)",Overall Points,Overall Grade
0015,Adams Central Community Schools,70.8,0.302,96.7,0.302,46.4,0.079,115.5,0.079,100.6,0.237,87.2,B
0025,North Adams Community Schools,53.6,0.252,106.1,0.252,64.7,0.099,116.5,0.099,95,0.297,86.4,B
0035,South Adams Schools,68.8,0.308,109.6,0.308,62.2,0.077,96.9,0.077,100,0.231,90.3,A
0125,M S D Southwest Allen County Schls,75,0.293,105.7,0.293,68.2,0.083,116.9,0.083,100.4,0.249,93.3,A
0235,Fort Wayne Community Schools,51.3,0.305,95.5,0.305,37.7,0.078,94.4,0.078,95,0.234,77.3,C
0365,Bartholomew Con School Corp,63.4,0.294,97.3,0.294,53.3,0.082,95,0.082,100.3,0.247,84.2,B
0370,Flat Rock-Hawcreek School Corp,65.3,0.307,109.4,0.307,43.7,0.077,78.9,0.077,100.9,0.232,86.5,B
0395,Benton Community School Corp,64.2,0.3,102.1,0.3,53.1,0.08,123.1,0.08,100.4,0.24,88.1,B
0515,Blackford County Schools,62.3,0.288,93.5,0.288,41.8,0.085,74.1,0.085,100.4,0.254,80.2,B
0615,Western Boone Co Com Sch Dist,66.5,0.301,97,0.301,56.9,0.08,90.8,0.08,100,0.239,84.9,B
0630,Zionsville Community Schools,85.1,0.311,102,0.311,76.1,0.075,108.4,0.075,100.1,0.226,94.7,A
0665,Lebanon Community School Corp,66.5,0.312,98.2,0.312,56.4,0.075,108.2,0.075,100.9,0.226,86.5,B
0670,Brown County School Corporation,69.1,0.282,109.6,0.282,40.1,0.087,94.7,0.087,100.4,0.262,88.4,B
0750,Carroll Consolidated School Corp,60.5,0.302,96.7,0.302,56.9,0.079,121.1,0.079,101.2,0.238,85.6,B
0755,Delphi Community School Corp,65.6,0.303,99.1,0.303,46.9,0.079,100.5,0.079,94.9,0.236,84,B
0775,Pioneer Regional School Corp,55.3,0.308,101.3,0.308,57.4,0.077,124.3,0.077,98.1,0.23,84.8,B
0815,Southeastern School Corp,59.2,0.281,101,0.281,57.1,0.088,126.5,0.088,100.5,0.263,87.6,B
0875,Logansport Community Sch Corp,51.2,0.305,95.2,0.305,40.7,0.078,114.4,0.078,100.6,0.235,80.4,B
0940,West Clark Community Schools,57.7,0.295,108.2,0.295,48.3,0.082,107.5,0.082,100.3,0.246,86.4,B
1000,Clarksville Community School Corp,52.5,0.283,90.7,0.283,37.8,0.087,77.4,0.087,100,0.261,76.7,C
1010,Greater Clark County Schools,61.1,0.302,103.9,0.302,47.5,0.079,110.5,0.079,100.7,0.238,86.3,B
1125,Clay Community Schools,70.8,0.302,101.3,0.302,48.4,0.079,91.8,0.079,101,0.238,87.1,B
1150,Clinton Central School Corporation,57.3,0.311,97.7,0.311,52.2,0.075,115.6,0.075,100,0.226,83.4,B
1160,Clinton Prairie School Corporation,60,0.317,96.1,0.317,47,0.073,111.1,0.073,100,0.22,83,B
1170,Community Schools of Frankfort,46,0.317,90.7,0.317,27.6,0.073,94.6,0.073,100.8,0.22,74.4,C
1180,Rossville Con School District,69.6,0.299,115.6,0.299,57.7,0.08,89,0.08,100,0.241,91.2,A
1300,Crawford County Community Sch Corp,64.7,0.306,98.3,0.306,56.9,0.078,88.5,0.078,93,0.233,82.9,B
1315,Barr-Reeve Community Schools Inc,83.7,0.33,115.9,0.33,76.1,0.068,129,0.068,100,0.204,100.2,A
1375,North Daviess Com Schools,71.2,0.323,105.3,0.323,63.9,0.071,117.8,0.071,100.8,0.213,91.4,A
1560,Sunman-Dearborn Com Sch Corp,70.8,0.287,104.5,0.287,60.1,0.085,116.5,0.085,100.9,0.255,91.1,A
1600,South Dearborn Community Sch Corp,60.3,0.284,98.1,0.284,41.3,0.086,68.4,0.086,95.4,0.259,79.1,C
