Corp ID,Corporate Name,Corp Grade 2015
15,Adams Central Community Schools,C
25,North Adams Community Schools,C
35,South Adams Schools,C
125,M S D Southwest Allen County Schls,A
225,Northwest Allen County Schools,A
235,Fort Wayne Community Schools,F
255,East Allen County Schools,C
365,Bartholomew Con School Corp,C
370,Flat Rock-Hawcreek School Corp,B
395,Benton Community School Corp,C
515,Blackford County Schools,C
615,Western Boone Co Com Sch Dist,C
630,Zionsville Community Schools,A
665,Lebanon Community School Corp,B
670,Brown County School Corporation,C
750,Carroll Consolidated Sch Corp,D
755,Delphi Community School Corp,C
775,Pioneer Regional School Corp,D
815,Southeastern School Corp,D
875,Logansport Community Sch Corp,D
940,West Clark Community Schools,D
1000,Clarksville Com School Corp,C
1010,Greater Clark County Schools,D
1125,Clay Community Schools,D
1150,Clinton Central School Corp,C
1160,Clinton Prairie School Corp,B
1170,Community Schools of Frankfort,D
1180,Rossville Con School District,C
1300,Crawford Co Com School Corp,B
1315,Barr-Reeve Com Schools Inc,A
1375,North Daviess Com Schools,C
1405,Washington Com Schools,D
1560,Sunman-Dearborn Com Sch Corp,C
1600,South Dearborn Com School Corp,C
1620,Lawrenceburg Com School Corp,C
1655,Decatur County Com Schools,C
1730,Greensburg Community Schools,D
1805,DeKalb Co Eastern Com Sch Dist,C
1820,Garrett-Keyser-Butler Com,D
1835,DeKalb Co Ctl United Sch Dist,C
1875,Delaware Community School Corp,A
1885,Wes-Del Community Schools,D
1895,Liberty-Perry Com School Corp,A
1900,Cowan Community School Corp,B
1910,Yorktown Community Schools,B
1940,Daleville Community Schools,D
1970,Muncie Community Schools,D
2040,Northeast Dubois Co Sch Corp,A
2100,Southeast Dubois Co Sch Corp,B
2110,Southwest Dubois Co Sch Corp,C
2120,Greater Jasper Con Schs,B
2155,Fairfield Community Schools,C
2260,Baugo Community Schools,C
2270,Concord Community Schools,D
2275,Middlebury Community Schools,B
2285,Wa-Nee Community Schools,A
2305,Elkhart Community Schools,D
2315,Goshen Community Schools,C
2395,Fayette County School Corp,B
2400,New Albany-Floyd Co Con Sch,A
2435,Attica Consolidated Sch Corp,D
2440,Covington Community Sch Corp,B
2455,Southeast Fountain School Corp,C
2475,Franklin County Com Sch Corp,C
2645,Rochester Community Sch Corp,C
2650,Caston School Corporation,C
2725,East Gibson School Corporation,D
2735,North Gibson School Corp,D
2765,South Gibson School Corp,C
2815,Eastbrook Community Sch Corp,C
2825,Madison-Grant United Sch Corp,D
2855,Mississinewa Community School Corp,D
2865,Marion Community Schools,D
2920,Bloomfield School District,C
2940,Eastern Greene Schools,B
2950,Linton-Stockton School Corp,B
2960,M S D Shakamak Schools,D
2980,White River Valley Sch Dist,C
3005,Hamilton Southeastern Schools,A
3025,Hamilton Heights School Corp,B
3030,Westfield-Washington Schools,B
3055,Sheridan Community Schools,C
3060,Carmel Clay Schools,A
3070,Noblesville Schools,A
